,,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,- V EUR,,,,,- V EUR,,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,- V EUR
112.,84 ,MESTNA OBČINA NOVA GORICA,"1.480.019,88 ","8.142,25 ","8.142,25 ","0,00 ","0,00 ","0,00 ","0,00 ","1.433.815,03 ","0,00 ","1.433.815,03 ","0,00 ","0,00 ","1.746,36 ","1.746,36 ","0,00 ","0,00 ","36.316,24 ","36.316,24 ","12.320,27 ","12.320,27 ","12.320,27 ","14.810,28 ","1.200,00 ","1.200,00 ","13.610,28 ","13.610,28 ","2.611.179,17 ","293.848,36 ","293.848,36 ","0,00 ","23.871,64 ","23.871,64 ","0,00 ","0,00 ","10.080,00 ","0,00 ","0,00 ","10.080,00 ","1.615.110,46 ","1.615.110,46 ","0,00 ","0,00 ","0,00 ","64.779,53 ","64.779,53 ","15.784,10 ","15.784,10 ","587.705,08 ","587.705,08 ","1.536.471,98 ","944.504,67 ","944.504,67 ","581.551,93 ","581.551,93 ","0,00 ","0,00 ","0,00 ","0,00 ","10.415,38 ","10.415,38 ","477.475,36 ","0,00 ","0,00 ","152.144,11 ","152.144,11 ","267.295,61 ","267.295,61 ","58.035,64 ","58.035,64 ","342.740,35 ","0,00 ","0,00 ","342.740,35 ","342.740,35 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","947.983,95 ","785.889,70 ","785.889,70 ","0,00 ","0,00 ","0,00 ","0,00 ","162.094,25 ","162.094,25 ","0,00 ","0,00 ","851.111,52 ","582.965,52 ","0,00 ","582.965,52 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","268.146,00 ","268.146,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","8.274.112,76 "
113.,85 ,MESTNA OBČINA NOVO MESTO,"1.245.549,00 ","928,00 ","928,00 ","0,00 ","0,00 ","0,00 ","0,00 ","718.627,00 ","0,00 ","718.627,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","525.994,00 ","525.994,00 ","24.580,00 ","24.580,00 ","24.580,00 ","69.325,00 ","0,00 ","0,00 ","69.325,00 ","69.325,00 ","3.086.898,00 ","172.737,00 ","172.737,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","14.181,00 ","0,00 ","14.181,00 ","0,00 ","2.505.242,00 ","2.505.242,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","394.738,00 ","394.738,00 ","2.501.287,00 ","1.807.644,00 ","1.807.644,00 ","693.643,00 ","693.643,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","368.298,00 ","13.667,00 ","13.667,00 ","20.685,00 ","20.685,00 ","327.366,00 ","327.366,00 ","6.580,00 ","6.580,00 ","37.556,00 ","0,00 ","0,00 ","37.556,00 ","37.556,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.693.612,00 ","174.456,00 ","174.456,00 ","1.519.156,00 ","1.519.156,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","182.585,00 ","182.585,00 ","15.614,00 ","166.971,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","9.209.690,00 "
114.,86 ,OBČINA ODRANCI,"93.796,43 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","93.796,43 ","0,00 ","93.796,43 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.520,00 ","0,00 ","0,00 ","2.520,00 ","2.520,00 ","422.107,55 ","416.874,59 ","416.874,59 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","5.232,96 ","5.232,96 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","52.649,35 ","0,00 ","0,00 ","52.649,35 ","52.649,35 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","37.472,50 ","37.472,50 ","37.472,50 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","608.545,83 "
115.,171 ,OBČINA OPLOTNICA,"113.088,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","113.088,00 ","0,00 ","113.088,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","812.584,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","795.586,00 ","795.586,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","16.998,00 ","16.998,00 ","79.746,00 ","79.746,00 ","79.746,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","63.118,00 ","0,00 ","0,00 ","41.810,00 ","41.810,00 ","15.376,00 ","15.376,00 ","5.932,00 ","5.932,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","10.964,00 ","986,00 ","986,00 ","9.978,00 ","9.978,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.079.500,00 "
116.,87 ,OBČINA ORMOŽ,"230.143,43 ","1.626,17 ","1.626,17 ","0,00 ","0,00 ","0,00 ","0,00 ","100.213,55 ","0,00 ","100.213,55 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","128.303,71 ","128.303,71 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.574.533,65 ","12.739,14 ","12.739,14 ","0,00 ","6.921,89 ","6.921,89 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.364.584,40 ","1.364.584,40 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","87.740,21 ","87.740,21 ","102.548,01 ","102.548,01 ","121.216,96 ","33.425,72 ","33.425,72 ","82.405,04 ","82.405,04 ","5.386,20 ","5.386,20 ","0,00 ","0,00 ","0,00 ","0,00 ","239.719,85 ","0,00 ","0,00 ","67.784,27 ","67.784,27 ","139.270,41 ","139.270,41 ","32.665,17 ","32.665,17 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","166.931,41 ","6.881,24 ","6.881,24 ","160.050,17 ","160.050,17 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","105.827,94 ","105.827,94 ","4.807,20 ","101.020,74 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.438.373,24 "
117.,88 ,OBČINA OSILNICA,"17.134,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","17.134,00 ","0,00 ","17.134,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","214.724,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","214.724,00 ","214.724,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","23.246,00 ","23.246,00 ","23.246,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","4.138,00 ","4.138,00 ","0,00 ","4.138,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","259.242,00 "
118.,89 ,OBČINA PESNICA,"318.632,43 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","318.632,43 ","0,00 ","318.632,43 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.102.360,10 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","904.864,74 ","904.864,74 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","197.495,36 ","197.495,36 ","455.983,30 ","0,00 ","0,00 ","455.983,30 ","455.983,30 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","4.974,11 ","0,00 ","0,00 ","0,00 ","0,00 ","4.974,11 ","4.974,11 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","841.203,45 ","841.203,45 ","276.529,73 ","564.673,72 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.723.153,39 "
119.,90 ,OBČINA PIRAN,"2.122.969,13 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.067.051,82 ","0,00 ","2.067.051,82 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","55.917,31 ","55.917,31 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.973.518,57 ","0,00 ","0,00 ","0,00 ","20.565,32 ","20.565,32 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.844.255,46 ","2.826.315,46 ","17.940,00 ","0,00 ","0,00 ","73.661,44 ","73.661,44 ","0,00 ","0,00 ","35.036,35 ","35.036,35 ","50.371,91 ","0,00 ","0,00 ","50.371,91 ","50.371,91 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","299.168,20 ","0,00 ","0,00 ","29.400,00 ","29.400,00 ","74.209,72 ","74.209,72 ","195.558,48 ","195.558,48 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","527.760,21 ","0,00 ","0,00 ","470.495,05 ","470.495,05 ","0,00 ","0,00 ","57.265,16 ","57.265,16 ","0,00 ","0,00 ","966.693,64 ","966.693,64 ","14.180,99 ","952.512,65 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","6.940.481,66 "
120.,91 ,OBČINA PIVKA,"110.370,92 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","110.370,92 ","0,00 ","110.370,92 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.230.266,07 ","355.645,67 ","355.645,67 ","0,00 ","21.459,30 ","21.459,30 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","419.431,56 ","419.431,56 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","433.729,54 ","433.729,54 ","228.953,40 ","19.952,74 ","19.952,74 ","209.000,66 ","209.000,66 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","57.385,61 ","0,00 ","0,00 ","56.551,36 ","56.551,36 ","0,00 ","0,00 ","834,25 ","834,25 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","291.556,08 ","22.865,52 ","22.865,52 ","268.690,56 ","268.690,56 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","96.666,51 ","96.666,51 ","45.615,74 ","51.050,77 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.015.198,59 "
121.,92 ,OBČINA PODČETRTEK,"29.648,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","29.648,00 ","0,00 ","29.648,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","808.612,00 ","0,00 ","0,00 ","0,00 ","4.460,00 ","4.460,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","524.442,00 ","524.442,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","279.710,00 ","279.710,00 ","2.760,00 ","0,00 ","0,00 ","2.760,00 ","2.760,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","46.272,00 ","0,00 ","0,00 ","0,00 ","0,00 ","46.272,00 ","46.272,00 ","0,00 ","0,00 ","66.962,00 ","0,00 ","0,00 ","66.962,00 ","66.962,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","37.440,00 ","37.440,00 ","37.440,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","390.053,00 ","390.053,00 ","0,00 ","390.053,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.381.747,00 "
122.,172 ,OBČINA PODLEHNIK,"21.004,00 ","21.004,00 ","21.004,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","184.553,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","184.553,00 ","184.553,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","135.202,00 ","0,00 ","0,00 ","135.202,00 ","135.202,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","82.157,00 ","0,00 ","0,00 ","66.924,00 ","66.924,00 ","15.233,00 ","15.233,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","422.916,00 "
123.,93 ,OBČINA PODVELKA,"37.283,00 ","876,00 ","876,00 ","0,00 ","0,00 ","0,00 ","0,00 ","35.662,00 ","0,00 ","35.662,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","745,00 ","745,00 ","0,00 ","0,00 ","0,00 ","27.811,00 ","0,00 ","0,00 ","27.811,00 ","27.811,00 ","576.896,00 ","89.181,00 ","89.181,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","375.155,00 ","375.155,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","112.560,00 ","112.560,00 ","21.528,00 ","6.991,00 ","6.991,00 ","14.537,00 ","14.537,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","39.432,00 ","15.068,00 ","15.068,00 ","3.080,00 ","3.080,00 ","6.502,00 ","6.502,00 ","14.782,00 ","14.782,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","69.028,00 ","53.679,00 ","53.679,00 ","15.349,00 ","15.349,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","46.682,00 ","46.682,00 ","4.139,00 ","42.543,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","818.660,00 "
124.,200 ,OBČINA POLJČANE,"114.751,00 ","99,00 ","99,00 ","0,00 ","0,00 ","0,00 ","0,00 ","110.302,00 ","0,00 ","110.302,00 ","0,00 ","0,00 ","4.350,00 ","4.350,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","348.837,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","334.165,00 ","334.165,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","14.672,00 ","14.672,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","18.144,00 ","0,00 ","0,00 ","18.144,00 ","18.144,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","6.249,00 ","0,00 ","0,00 ","6.249,00 ","6.249,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","6.002,00 ","6.002,00 ","6.002,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.439,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.439,00 ","2.439,00 ","496.422,00 "
125.,173 ,OBČINA POLZELA,"149.248,57 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","149.248,57 ","0,00 ","149.248,57 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","5.433,41 ","5.433,41 ","5.433,41 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","883.771,08 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","871.463,45 ","871.463,45 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","12.307,63 ","12.307,63 ","37.096,79 ","0,00 ","0,00 ","37.096,79 ","37.096,79 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","135.061,82 ","49.146,68 ","49.146,68 ","47.943,83 ","47.943,83 ","6.516,40 ","6.516,40 ","31.454,91 ","31.454,91 ","29.551,94 ","0,00 ","0,00 ","29.551,94 ","29.551,94 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","4.602,41 ","0,00 ","0,00 ","4.602,41 ","4.602,41 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.244.766,02 "
126.,94 ,OBČINA POSTOJNA,"248.458,65 ","228,81 ","228,81 ","0,00 ","0,00 ","0,00 ","0,00 ","245.611,16 ","0,00 ","245.611,16 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.618,68 ","2.618,68 ","0,00 ","0,00 ","0,00 ","14.269,90 ","0,00 ","0,00 ","14.269,90 ","14.269,90 ","2.616.736,25 ","529.399,77 ","529.399,77 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.827.006,71 ","1.827.006,71 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","260.329,77 ","260.329,77 ","686.184,15 ","191.387,13 ","191.387,13 ","494.797,02 ","494.797,02 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","553.322,89 ","302.999,52 ","302.999,52 ","167.431,54 ","167.431,54 ","77.470,85 ","77.470,85 ","5.420,98 ","5.420,98 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","612.681,04 ","280.564,38 ","280.564,38 ","330.238,66 ","330.238,66 ","0,00 ","0,00 ","1.878,00 ","1.878,00 ","0,00 ","0,00 ","1.584.382,29 ","1.565.684,40 ","25.382,07 ","1.540.302,33 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","18.697,89 ","18.697,89 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","6.316.035,17 "
127.,174 ,OBČINA PREBOLD,"269.974,07 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","269.974,07 ","0,00 ","269.974,07 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","198.730,76 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","168.442,09 ","168.442,09 ","0,00 ","0,00 ","0,00 ","300,00 ","300,00 ","0,00 ","0,00 ","29.988,67 ","29.988,67 ","28.212,17 ","0,00 ","0,00 ","28.212,17 ","28.212,17 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","168.940,24 ","3.717,34 ","3.717,34 ","126.389,07 ","126.389,07 ","10.326,86 ","10.326,86 ","28.506,97 ","28.506,97 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","6.140,94 ","0,00 ","0,00 ","6.140,94 ","6.140,94 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","53.682,55 ","53.682,55 ","2.221,10 ","51.461,45 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","725.680,73 "
